산업분야,자기자본비율,고정비율,유형자산비율,현금성자산비율,현금비율,부채비율,자기자본대비부채비율,유동비율,당좌비율
2,0.545,0.513293271,0.279871925,0.101,0.24,0.454752398,0.834029157,2.383985326,1.559666271
2,0.841,0.13074756,0.10994515,0.285,0.691,0.159103619,0.189207164,2.423252048,1.818810541
2,0.267,1.276206762,0.340559085,0.103,0.106,0.733147406,2.747387222,1.024970994,0.748152656
2,0.809,0.601287898,0.486405371,0.418,1.19,0.189236996,0.233405809,2.840333519,2.366440123
2,0.0111,37.02974255,0.412621359,0.00887,0.00646,0.98887372,88.87915111,0.727623169,0.486415417
3,0.592,0.577413479,0.341963323,0.152,0.237,0.407887533,0.688869402,1.558829814,1.55557898
2,0.717,0.292854253,0.20992963,0.264,0.776,0.283160044,0.395011524,2.937626104,1.61139996
1,0.654,0.058727357,0.038379911,0.0284,0.0447,0.346388679,0.529962938,1.575850533,1.56867552
2,0.628,0.158139362,0.099264824,0.223,0.491,0.372295283,0.593105759,2.199701986,1.94083889
1,0.9,0.105384615,0.094809689,0.597,3.3,0.102089862,0.113697149,5.518361669,5.259100673
2,0.471,0.66726155,0.314594217,0.184,0.279,0.528529379,1.121022937,1.516263206,0.94956914
2,0.602,0.641337706,0.385942116,0.0352,0.0556,0.398223257,0.661745841,1.580144207,1.207550389
2,0.648,0.478900753,0.31031526,0.0281,0.0312,0.35202595,0.543271679,1.10978015,0.742153289
1,0.392,1.467538353,0.574726326,0.518,0.414,0.609206882,1.55889475,0.7991424,0.7991424
1,0.597,0.539130435,0.321938555,0.159,0.124,0.404696433,0.679812765,0.777224022,0.76405103
1,0.923,0.134486623,0.124198155,0.247,1.33,0.0765018,0.082839144,5.368387918,5.3042831
1,0.786,0.13101494,0.103036187,0.389,1.21,0.213553909,0.271542972,3.113517864,3.07180175
2,0.52,0.804020101,0.417754569,0.0399,0.0276,0.482453044,0.932190613,0.695693372,0.645024667
1,0.979,0.106906978,0.104628303,0.268,16.9,0.021314555,0.02177876,63.09138227,63.09138227
2,0.809,0.218369132,0.176644955,0.0637,0.285,0.191071773,0.236203617,4.473742414,4.070494784
1,0.635,0.019996408,0.012703825,0.0343,0.0682,0.36469465,0.574046243,1.987996825,1.681714349
2,0.449,1.307692308,0.587587031,0.00845,0.00435,0.556646322,1.243433762,0.514791203,0.369644434
2,0.704,0.562962963,0.396521739,0.253,0.432,0.295878502,0.420210262,1.70695536,1.330492675
2,0.706,0.052511817,0.037057178,0.11,0.475,0.294307833,0.417048462,4.303370597,3.132385776
2,0.431,0.976108339,0.421036624,0.131,0.146,0.568657897,1.318345446,1.118206394,0.791903055
1,0.672,0.106918229,0.0718377,0.0133,0.0146,0.32814112,0.48840868,1.103413743,0.085349824
2,0.793,0.718351838,0.569401367,0.332,1.15,0.207350302,0.261591347,3.458158993,1.989558114
3,0.558,0.06106002,0.034067135,0.000679,0.000744,0.44207134,0.792343845,1.095363553,1.095363553
2,0.796,0.650753769,0.518,0.183,0.313,0.203766881,0.255913575,1.715669103,1.050360462
2,0.914,0.189001504,0.172733116,0.202,4.64,0.086075438,0.094182213,22.9530369,22.43004949
2,0.481,0.942708333,0.453634085,0.0283,0.0206,0.517810903,1.07386833,0.727076376,0.499250935
2,0.553,0.618376725,0.341880775,0.0101,0.0105,0.447131883,0.808749627,1.038386313,0.631833276
0,0.931,0.051800438,0.048215651,0.386,3.36,0.069203787,0.07434902,8.689014405,7.729360817
2,0.728,0.331961437,0.241716563,0.499,0.694,0.267581589,0.36534142,1.389936195,1.264292426
2,0.499,0.879182156,0.43836886,0.0351,0.0621,0.50098146,1.003933562,1.765424436,1.269263475
0,0.48,0.029923589,0.014359563,0.0595,0.0481,0.520125629,1.08387874,0.808681255,0.803485759
2,0.356,0.746044872,0.265428026,0.0117,0.0152,0.644219757,1.810723811,1.295628998,0.886960516
2,0.707,0.599874921,0.423890825,0.181,0.282,0.293367983,0.415163729,1.558863852,1.036272081
2,0.515,0.895606313,0.461117198,0.00348,0.00779,0.485134047,0.942253114,2.238995227,1.600611316
2,0.363,1.678199969,0.608651398,0.03,0.0208,0.636946187,1.75441024,0.692709147,0.249798616
2,0.551,0.746555939,0.411457579,0.269,0.554,0.448462816,0.813113352,2.060175694,1.948559163
2,0.601,0.677156495,0.406888141,0.153,0.243,0.399122442,0.664232565,1.580074316,0.847899452
2,0.502,0.268215117,0.134761755,0.45,0.668,0.497560926,0.990291067,1.483169376,1.437758903
0,0.568,1.495833333,0.849503076,0.416,0.487,0.432766732,0.762941235,1.171522923,1.084079736
2,0.744,0.207612457,0.154440154,0.185,0.471,0.254976971,0.342240055,2.551647474,2.225582238
0,0.213,2.361288301,0.504122975,0.00794,0.00399,0.786505115,3.683952958,0.501827682,0.493778135
2,0.329,0.944540728,0.310718358,0.0329,0.0306,0.671006354,2.039551043,0.929574223,0.844716673
2,0.724,0.037387501,0.027059939,0.255,6.29,0.274974015,0.379260127,24.71149881,22.94240532
2,0.661,0.741026414,0.489757493,0.144,0.247,0.339082274,0.513047632,1.717785766,1.130683816
1,0.753,0.027718638,0.020875733,0.585,0.309,0.246159443,0.326540092,0.528759256,0.528549396
2,0.512,1.312438681,0.671356827,0.0952,0.0865,0.488466138,0.954904796,0.908536168,0.563821754
2,0.258,1.369517594,0.353919246,0.0122,0.00506,0.741573786,2.869576489,0.413632668,0.290385805
2,0.351,0.366726297,0.128607277,0.135,0.277,0.649480662,1.852906327,2.052431238,0.735640612
2,0.827,0.193575266,0.160075498,0.117,0.611,0.17183536,0.207489824,5.2309632,3.570073648
2,0.609,0.750819017,0.457137937,0.0593,0.076,0.391147631,0.642434276,1.281294714,0.813910042
2,0.77,0.557243205,0.428909813,0.291,0.731,0.230300506,0.299208337,2.510712809,1.946777238
1,0.761,0,0,0.0586,0.0586,0.239319933,0.314613126,0.999899858,0.999899858
1,0.965,0.011330075,0.010934394,0.27,9.77,0.037604634,0.039074057,36.19006112,36.19006112
2,0.848,0.304735175,0.258527573,0.371,1.68,0.151631993,0.178733748,4.514151982,3.726667129
1,0.923,0,0,0.147,1020,0.076683479,0.083052211,6907.064954,6907.064954
1,0.877,0.231208693,0.202839921,0.376,2.45,0.125954699,0.144105713,6.524471023,6.484768662
2,0.677,0.855670103,0.579069767,0.139,0.349,0.323399887,0.477977058,2.508313847,1.93806757
2,0.826,0.575464031,0.475376385,0.236,0.695,0.173925112,0.210544001,2.949523302,2.404647279
1,0.623,0.000307622,0.000191679,0.0523,0.0642,0.376901615,0.604882992,1.22833305,1.22833305
2,0.254,2.768328446,0.702380952,0.00306,0.00176,0.747281898,2.957021486,0.576505149,0.338968967
2,0.515,0.486637575,0.250517568,0.053,0.067,0.486572925,0.947697967,1.269973548,0.993285075
2,0.347,0.463877,0.161127001,0.19,0.284,0.652651455,1.878952605,1.496875534,1.426510174
2,0.525,0.582722293,0.305940908,0.0857,0.102,0.474979915,0.904689036,1.194614718,1.192466477
2,0.857,0.220818694,0.189279665,0.0908,0.477,0.14212763,0.165674915,5.242211591,3.56807646
2,0.391,1.255744565,0.490547657,0.0695,0.0654,0.609357133,1.559882915,0.941582457,0.299970257
2,0.797,0.038874945,0.030977981,0.215,0.643,0.203137613,0.254921824,2.986070793,2.691793853
2,0.462,1.166666667,0.538712002,0.0709,0.0534,0.538266703,1.165759549,0.753356946,0.381631522
2,0.489,0.959568733,0.469038208,0.000134,0.000105,0.511690106,1.047878358,0.78273738,0.653472912
1,0.565,0.008575731,0.004847896,0.311,0.0843,0.434695935,0.768959508,0.271105014,0.269502064
2,0.787,0.113726777,0.089553289,0.456,0.631,0.212557575,0.269934117,1.382683149,1.23197707
2,0.584,0.264071816,0.154199392,0.268,0.511,0.416070241,0.712534744,1.904044847,1.596582572
0,0.475,0.231145292,0.109876609,0.0247,0.026,0.524642667,1.103680601,1.052451772,0.698645743
2,0.682,0.509641121,0.347548828,0.203,0.458,0.318051834,0.466387109,2.251895919,1.166638613
2,0.397,0.722579998,0.286883016,0.0364,0.0421,0.602974042,1.518727002,1.155943794,0.888536591
2,0.606,0.069683038,0.042208424,0.0617,0.106,0.394279801,0.650927279,1.715058271,0.465714502
2,0.879,0.398726164,0.35053894,0.165,0.745,0.120852929,0.137466111,4.526285773,3.653748517
0,0.404,0.011170783,0.004511049,0.0132,0.0183,0.596929308,1.480955202,1.392409909,1.257181616
2,0.339,1.541657196,0.522986038,0.0715,0.0317,0.660763729,1.947797997,0.444106001,0.368853502
2,0.154,3.772920438,0.582043344,0.0611,0.0342,0.845797205,5.485018641,0.559415711,0.3082758
2,0.765,0.603078662,0.461133868,0.214,0.631,0.233129339,0.304002588,2.946362684,1.923173264
2,0.463,0.166896917,0.077286727,0.113,0.185,0.538535969,1.16700845,1.65340443,1.135785178
2,0.387,0.890780741,0.344854518,0.255,0.172,0.612630312,1.58151968,0.674863009,0.625387835
2,0.323,1.851673783,0.59876888,0.0851,0.057,0.676633711,2.092468305,0.670273493,0.423240727
2,0.327,1.278911565,0.417777778,0.0104,0.0057,0.674049058,2.067967349,0.550044717,0.247053699
2,0.71,0.920553818,0.653504779,0.133,0.196,0.290096063,0.408641294,1.47551184,1.139803758
1,0.294,1.325579347,0.389748384,0.0193,0.0125,0.705595699,2.396669137,0.64828661,0.64668446
1,0.0708,0.028154702,0.001993505,0.282,0.0117,0.929194595,13.12321551,0.041354603,0.041354603
2,0.846,0.127095016,0.107475357,0.501,3.23,0.154370013,0.182550306,6.449824162,5.551742775
1,0.938,0.000511841,0.000480282,0.827,4.3,0.060933667,0.064887632,5.199647684,5.199647684
2,0.923,0.160083305,0.147709035,0.173,1.88,0.078102188,0.084719285,10.89765327,8.830670127
2,0.694,0.423566757,0.294013957,0.0635,0.146,0.305861587,0.440634866,2.306391204,1.545706133
2,0.259,2.356697108,0.609427609,0.0391,0.0261,0.74088005,2.859215558,0.665409846,0.552498675
1,0.481,0.00763391,0.00367372,0.0571,0.144,0.518762975,1.077978104,2.516171543,2.516171543
0,0.665,0.513311212,0.341210913,0.00144,0.00177,0.335274771,0.504380992,1.230303442,0.536688246
2,0.0928,6.669032159,0.619056198,0.00072,0.000362,0.907378921,9.797011574,0.504149285,0.249840941
0,0.414,1.303867403,0.539736993,0.252,0.135,0.585640949,1.413360033,0.537984156,0.528216391
1,0.574,0.300501752,0.172480901,0.0253,0.0572,0.426023641,0.742232034,2.263748341,2.263748341
0,0.523,0.798165138,0.417767107,0.00352,0.00343,0.477094987,0.912392479,0.974746774,0.384976247
2,0.752,0.27745098,0.208548268,0.00152,0.00151,0.244870989,0.324279724,0.988280389,0.668420896
2,0.683,0.675,0.46097561,0.374,1.21,0.313212749,0.4560562,3.220022759,2.392644814
0,0.878,0.075308728,0.066134818,0.256,1.33,0.121817353,0.138715282,5.193121837,3.497702691
1,0.9,0.022666233,0.020395634,0.161,0.742,0.100175402,0.1113277,4.609773643,4.609773643
2,0.876,0.402826855,0.352941176,0.528,1.75,0.125392119,0.143369936,3.314864784,2.924078777
2,0.506,0.270944494,0.137044835,0.496,0.621,0.494195904,0.977050024,1.252040269,1.240938204
1,0.993,0,0,0.735,0.779,0.006891526,0.006939348,1.059949668,1.059949668
2,0.356,0.912621359,0.324697755,0.00687,0.00864,0.643911799,1.808292993,1.256489118,0.616831006
2,0.3,0.646286845,0.193918425,0.15,0.174,0.700192614,2.335457957,1.160840665,0.991842981
2,0.363,1.81072302,0.656488057,0.126,0.0832,0.637174112,1.756133914,0.661532337,0.543293451
0,0.778,0.222882401,0.173505558,0.0794,0.258,0.221537648,0.284583637,3.257567944,1.700839244
2,0.491,0.536106684,0.263059315,0.255,0.273,0.50931536,1.037968826,1.073089023,0.810386438
1,0.939,0.092217452,0.086560469,0.772,13.7,0.06134396,0.06535297,17.72256178,17.56533802
